date,Daily_Average_EffEX,Nonzero_DNI_Hours,Daily_Mean_DNI,Daily_Max_DNI,month,Daily_Average_EffEX_7day_Rolling
2023-11-28,43.78554662068685,9,694.32,815.17,2023-11,41.55896815648155
2023-11-29,39.689794328477646,9,487.62,691.56,2023-11,41.406393886747814
2023-11-30,43.478781382242836,9,646.6044444444444,755.04,2023-11,41.51598293364994
2023-12-01,43.05141957600912,9,611.8877777777777,789.47,2023-12,41.81765825786288
2023-12-02,39.150169944763185,10,526.216,798.78,2023-12,41.931564897204204
2023-12-03,41.01008262634277,10,577.066,766.46,2023-12,41.975367122226295
2023-12-04,39.58689022064209,10,519.313,790.02,2023-12,41.393240671309215
2023-12-05,38.281364017062714,9,482.39000000000004,828.24,2023-12,40.60692887079148
2023-12-06,39.453295389811196,9,564.2644444444445,803.85,2023-12,40.57314330812484
2023-12-07,40.75108966827393,10,583.85,787.8,2023-12,40.18347306327214
2023-12-08,41.435823631286624,10,614.3149999999999,818.85,2023-12,39.9526736425975
2023-12-09,40.22727288140191,9,581.4988888888888,812.51,2023-12,40.106545490688745
2023-12-10,39.124017524719235,10,566.644,843.71,2023-12,39.83710761902824
2023-12-11,40.596501159667966,10,583.4019999999999,814.41,2023-12,39.98133775317479
2023-12-12,40.727221965789795,8,570.385,759.39,2023-12,40.33074603156438
2023-12-13,40.39966604444716,9,527.6922222222222,735.34,2023-12,40.46594183936952
2023-12-14,42.33485624525282,9,545.88,734.3,2023-12,40.69219420750936
2023-12-15,39.67784252166748,10,406.894,729.82,2023-12,40.441054048992335
2023-12-16,37.5888729095459,10,397.303,755.98,2023-12,40.06413976729862
2023-12-17,42.15611534118652,10,567.188,764.94,2023-12,40.49729659822252
2023-12-18,41.787692070007324,10,577.192,746.45,2023-12,40.667466728270995
2023-12-19,43.42295341491699,10,640.528,914.18,2023-12,41.052571221003454
2023-12-20,42.77829132080078,10,577.2239999999999,784.44,2023-12,41.39237483191112
2023-12-21,40.95937389797635,9,406.05111111111114,629.72,2023-12,41.19587735372876
2023-12-22,40.70042953491211,10,472.72799999999995,791.7,2023-12,41.34196121276371
2023-12-23,40.994713973999026,10,547.1279999999999,777.04,2023-12,41.82850993625702
2023-12-24,41.43764898512099,9,530.9677777777778,732.79,2023-12,41.72587188539051
2023-12-25,42.01282730102539,10,577.64,804.13,2023-12,41.75803406125023
2023-12-26,39.84837828742133,9,542.0955555555555,817.57,2023-12,41.247380471608
2023-12-27,41.82679290771485,10,586.9390000000001,817.29,2023-12,41.11145212688143
2023-12-28,42.68146684434679,9,623.9488888888889,798.26,2023-12,41.35746540493436
2023-12-29,43.22723388671875,9,641.3177777777778,826.94,2023-12,41.71843745519244
2023-12-30,40.20976469251845,9,558.3177777777778,816.66,2023-12,41.606301843552366
2023-12-31,36.3175360361735,6,419.5916666666667,770.61,2023-12,40.87485713655986
