date,Daily_Average_EffEX,Nonzero_DNI_Hours,Daily_Mean_DNI,Daily_Max_DNI,month,Daily_Average_EffEX_7day_Rolling
2023-02-25,42.77063617706299,10,740.495,939.91,2023-02,43.794170098077686
2023-02-26,43.8109676361084,10,750.269,925.2,2023-02,43.76923598334903
2023-02-27,38.82947688632541,9,497.4277777777778,903.14,2023-02,42.96341554853651
2023-02-28,42.93448486328125,10,683.068,942.2,2023-02,42.89970934126112
2023-03-01,25.47261683146159,6,74.11833333333333,221.16,2023-03,40.26832313840352
2023-03-02,33.374746322631836,6,235.17499999999998,515.92,2023-03,38.76018611665756
2023-03-03,39.83291435241699,11,636.5581818181818,905.02,2023-03,38.14654900989835
2023-03-04,41.169515991210936,10,625.835,885.09,2023-03,37.917817554776626
2023-03-05,39.81282634735108,10,649.483,893.14,2023-03,37.346654513525586
2023-03-06,42.112561139193446,11,655.2636363636364,878.08,2023-03,37.815666549649585
2023-03-07,42.51492205533114,11,663.0836363636364,882.7,2023-03,37.75572900565671
2023-03-08,41.00466450777921,11,616.8181818181819,833.98,2023-03,39.97459295941638
2023-03-09,42.52905673980713,10,693.063,934.12,2023-03,41.282351590441415
2023-03-10,37.26722674899631,9,310.5888888888889,537.94,2023-03,40.91582478995275
2023-03-11,40.74529902140299,9,529.9722222222222,845.51,2023-03,40.85522236569447
2023-03-12,39.88886677135121,11,600.5109090909091,892.58,2023-03,40.86608528340878
2023-03-13,24.81433219909668,5,67.886,142.87,2023-03,38.394909720537804
2023-03-14,40.40533913506402,9,544.0166666666667,901.51,2023-03,38.09354073192822
2023-03-15,41.12332257357511,11,599.8527272727273,872.49,2023-03,38.11049188418478
2023-03-16,41.23401485789906,11,664.1890909090909,905.29,2023-03,37.92548590105506
2023-03-17,41.75188706137917,11,640.5427272727273,849.45,2023-03,38.5661516599669
2023-03-18,43.25629844665527,10,692.0649999999999,849.32,2023-03,38.92486586357436
2023-03-19,30.925006866455078,6,137.655,246.1,2023-03,37.644314448589206
2023-03-20,37.58539333343506,10,516.937,910.58,2023-03,39.46875175349468
2023-03-21,36.559121449788414,9,368.0877777777778,781.1,2023-03,38.91929208416959
2023-03-22,42.012661170959475,10,652.5260000000001,862.78,2023-03,39.0463404552245
2023-03-23,42.65436016429555,11,666.5836363636364,869.96,2023-03,39.24924692756686
2023-03-24,40.226866635409266,11,563.6745454545454,865.21,2023-03,39.031386866714016
2023-03-25,42.617585615678266,11,678.18,872.43,2023-03,38.94014217657445
2023-03-26,43.4695384979248,10,694.042,854.86,2023-03,40.73221812392727
2023-03-27,38.86768680148654,9,484.5666666666667,795.66,2023-03,40.91540290507747
2023-03-28,39.21463810313832,11,502.39909090909083,817.01,2023-03,41.294762426984605
2023-03-29,41.80369342457164,11,667.9490909090908,856.46,2023-03,41.26490989178634
2023-03-30,41.475878802212804,11,660.2972727272728,875.57,2023-03,41.09655541148881
2023-03-31,42.25447810779918,11,676.7781818181819,838.25,2023-03,41.386214193258795
2023-04-01,41.495387684215196,11,643.5381818181818,849.98,2023-04,41.22590020304978
2023-04-02,36.841930627822876,8,300.3425,544.34,2023-04,40.2790990787495
2023-04-03,40.24780134721236,11,577.6436363636363,857.56,2023-04,40.476258299567476
2023-04-04,41.629568099975586,11,645.0481818181818,877.73,2023-04,40.82124829911566
2023-04-05,39.875870863596596,12,606.9641666666666,855.59,2023-04,40.54584507611923
2023-04-06,41.86600615761497,11,684.59,880.19,2023-04,40.60157755546239
2023-04-07,42.08000391179865,11,647.52,850.07,2023-04,40.57665267031946
2023-04-08,35.30430454678006,9,320.09666666666664,703.2,2023-04,39.69221222211444
2023-04-09,40.506714907559484,11,618.2527272727273,893.78,2023-04,40.21575283350539
2023-04-10,41.250649365511805,11,611.8436363636364,846.08,2023-04,40.35901683611959
2023-04-11,37.881766926158555,11,410.1972727272727,728.98,2023-04,39.82361666843144
2023-04-12,42.81131235758463,9,676.7422222222223,860.61,2023-04,40.242965453286885
2023-04-13,40.66072810779918,11,552.1654545454545,878.73,2023-04,40.07078287474177
2023-04-14,39.9602230919732,9,506.69222222222226,774.99,2023-04,39.76795704333813
2023-04-15,41.44858689741655,11,653.7990909090909,846.98,2023-04,40.64571166485763
2023-04-16,40.37475166320801,10,580.905,842.56,2023-04,40.626859772807414
2023-04-17,35.291158040364586,9,318.1611111111111,781.22,2023-04,39.77550386921496
2023-04-18,32.84998822212219,8,233.7225,477.5,2023-04,39.05667834006691
2023-04-19,38.319319089253746,12,482.335,804.18,2023-04,38.41496501601964
2023-04-20,38.118911147117615,8,529.1424999999999,857.24,2023-04,38.051848307350845
